Date,Ticker,Close,High,Low,Open,Volume,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,swing_high,swing_low,Div_Type,Daily_Return,Z_Score,Is_Signal
2025-03-20,HUMI.JK,49.074073791503906,49.074073791503906,49.074073791503906,49.074073791503906,3141700.0,46.95570041362774,-0.09062110147876012,0.0196945965583831,-0.11031569803714322,False,False,Normal,0.0,-0.22360679774997794,Normal
2025-03-20,INAI.JK,166.0,180.0,163.0,178.0,840000.0,56.178018393599196,16.004399364112714,-1.6729446480380403,17.677344012150755,False,True,Hidden Bullish (Continuation),-0.040462427745664775,0.2004638314092119,Sinyal Ganda
2025-03-20,WINE.JK,236.28318786621094,250.06637382507324,210.6858425140381,242.1902675628662,828100.0,39.28425751918348,-5.971651728537125,-0.17933881088877346,-5.792312917648352,False,False,Normal,-0.040000022318292805,-2.1165646250832477,Normal
2025-03-21,HUMI.JK,49.074073791503906,49.074073791503906,49.074073791503906,49.074073791503906,108900.0,46.95570041362774,-0.08522921570364161,0.020069185866801287,-0.1052984015704429,False,False,Normal,0.0,-0.22360679774997794,Normal
2025-03-21,INAI.JK,161.0,192.0,160.0,165.0,2973800.0,54.25914612649388,14.446929463784898,-2.584331638692685,17.031261102477583,False,True,Normal,-0.030120481927710885,-0.1093696058877853,Normal
2025-03-21,WINE.JK,246.12832641601562,257.94248608398436,230.37611352539062,236.283193359375,175300.0,45.93854994289185,-5.633969685880743,0.12667458541408738,-5.76064427129483,False,False,Normal,0.04166669088356478,-0.5572986536442203,Normal
2025-03-24,INAI.JK,216.0,216.0,150.0,164.0,7331600.0,67.43563355320833,17.44951652804332,0.3346043404525858,17.114912187590733,True,False,Normal,0.3416149068322982,2.2700533009889914,Normal
2025-03-24,WINE.JK,187.05752563476562,246.12832320363898,185.08849904913652,246.12832320363898,2631000.0,26.893461707426685,-10.017399832322269,-3.405404448821951,-6.611995383500318,False,True,Normal,-0.2400000099192413,-3.937153669859036,Normal
2025-03-25,INAI.JK,169.0,254.0,165.0,216.0,21311700.0,53.30444575095133,15.853828142171238,-1.0088672363355968,16.862695378506835,True,False,Normal,-0.21759259259259256,-0.192216327326796,Normal
2025-03-25,WINE.JK,200.84071350097656,228.40708594228707,183.1194740744198,192.96460708917357,5137200.0,33.79085782669583,-12.238039235992403,-4.500835081993667,-7.737204153998736,False,True,Hidden Bullish (Continuation),0.07368421997157681,-2.376567018183331,Sinyal Ganda
2025-03-26,INAI.JK,170.0,180.0,169.0,171.0,2399500.0,53.527582610077786,14.50274660746041,-1.88795901683714,16.39070562429755,True,False,Regular Bearish (Reversal),0.00591715976331364,-0.15172362356354216,Sinyal Ganda
2025-03-26,WINE.JK,206.74778747558594,216.5929202125186,198.8716812860398,198.8716812860398,6679400.0,36.55361824794428,-13.36717202167975,-4.503974294144811,-8.863197727534939,False,True,Hidden Bullish (Continuation),0.029411735656777793,-1.7594358851943723,Sinyal Ganda
2025-03-27,INAI.JK,169.0,177.0,167.0,175.0,699400.0,53.25353318744409,13.199161398129036,-2.5532353809348116,15.752396779063847,False,False,Normal,-0.00588235294117645,-0.22740997822873724,Normal
2025-03-27,WINE.JK,232.3451385498047,248.0973513328423,204.77876617948888,208.7168193752483,6335700.0,46.894788859911166,-12.057533839056362,-2.5554688892171384,-9.502064949839223,True,False,Hidden Bearish (Continuation),0.12380955262818194,-0.4038440847839548,Sinyal Ganda
2025-04-08,INAI.JK,152.0,168.0,146.0,168.0,482700.0,48.6897749199498,10.671290805084425,-4.06488477918354,14.736175584267965,False,True,Normal,-0.10059171597633132,-1.156152946149121,Normal
2025-04-08,WINE.JK,222.5,230.37610619469027,208.71681415929203,228.4070796460177,866300.0,43.92909325806099,-11.679423422580186,-1.7418867781927698,-9.937536644387416,False,False,Normal,-0.04237290528759796,-0.8459327572420268,Normal
